AIRLINE,Avg. No-Seats
OO,68.41254375
WN,144.1525424
F9,154.8253968
AS,160.4747292
VX,169.6006418
UA,192.8453312
DL,196.5848638
AA,218.5803193
B6,225.1643942
US,290.8273046
HA,376.4478022
